自身免疫性胃炎	胃炎
右膝外侧盘状半月板内侧间室OA	先天性盘状半月板##单侧膝关节骨性关节病
网状类牛皮癣	网状副银屑病
重度听力损害	听功能障碍
继发性血红蛋白增多症	血红蛋白增高
发作性感觉异常右上肢肌力减退	肌无力
右肩枪伤	肩部开放性损伤##枪击伤
右小腿皮肤软组织损伤	"下肢未特指的损伤,水平未特指"
2型退变并周围神经病变	多发性神经病[多发性神经炎/周围神经炎]
降结肠1管状腺瘤降结肠2早期管状腺瘤	管状腺瘤##降结肠良性肿瘤
停经285周41单胎高龄妊娠胎儿NT增厚	妊娠状态
右肺鳞癌中医治疗	右肺恶性肿瘤##鳞状细胞癌##恶性肿瘤中医治疗
胃窦幽门前区异位胰腺内镜粘膜下剥离术	胃内异位胰腺
腰椎陈旧性压缩性骨折	腰椎压缩性骨折##陈旧性腰椎骨折
植物神经紊乱躯体化功能障碍	植物神经功能紊乱##躯体化障碍
左肺上叶肺大泡破裂并气胸左侧胸壁引流术后	肺大疱破裂##气胸##胸腔闭式引流术后
右侧额颞顶部慢性硬膜下血肿并急性出血	颅内出血
热水烫伤躯干右股TBSA7%深Ⅱ度	下肢烫伤
右乳腺增生病伴囊肿形成并见异物肉芽肿	乳腺增生##乳腺囊肿##异物肉芽肿
盘状红斑狼疮	盘状狼疮
右侧胸膜增厚伴钙化	胸膜钙化##胸膜肥厚
细菌性阴道炎(外阴炎)	细菌性阴道炎##外阴炎
结缔组织相关性间质性肺病	结缔组织病##间质性肺病
周围型肺癌可能大	肺恶性肿瘤##癌
双肺病灶性质待查炎性可能性大恶性不除外	肺炎##双肺恶性肿瘤
子宫颈上皮瘤样病变CINI级	子宫颈上皮瘤样病变[CIN]I级
右肺癌IIIA期	右肺恶性肿瘤##癌
前列腺癌骨髓侵犯	前列腺恶性肿瘤##骨髓继发恶性肿瘤##癌
血尿蛋白尿查因:IGA肾病	血尿##蛋白尿##IgA肾病
头颈部皮下肿物	头部肿物##颈部肿物
语言发育差查因	言语和语言发育障碍
右胫骨中下段骨质破坏骨纤维结构不良症	骨质破坏##胫骨纤维结构不良
颅脑创伤后意识障碍	头部损伤##意识障碍
脑底异常血管网病云雾病	烟雾病[脑底异常血管网病]
肩背冷痛月经先期	背痛##肩痛
心慌、震颤	震颤##心悸
糖尿病，非胰岛素依赖型(Ⅱ)；恶性肿瘤并全身多器官转移	2型糖尿病##广泛转移性肿瘤
绝经后期子宫内膜分泌期改变	绝经期
节育环膀胱异位	避孕环移位
脑底血管异常网病	烟雾病[脑底异常血管网病]
右手示指指尖缺如	手指损伤
左股骨骨折术后	股骨骨折##骨折术后
胃角异位胰腺内镜下剥离术ESD后	胃内异位胰腺
左足第2趾远节趾骨骨折，左足第2趾软组织缺损	足部损伤##趾骨骨折
左胫骨中下段骨折术后	胫骨骨折##骨折术后
原发中枢系统淋巴瘤	淋巴瘤
急性移植物抗宿主反应病I度皮肤胃肠道肝脏	急性移植物抗宿主病
陈旧性会阴3度撕裂阴道前后壁膨出2度	陈旧性会阴裂伤##阴道前后壁脱垂
面颈部皮肤松弛	面部皮肤松弛##颈部皮肤松弛
颈椎病；胸背肌筋膜炎	颈椎病##筋膜炎
右乳导管内乳头状瘤切除术术后	导管内乳头状瘤##乳腺术后##乳腺良性肿瘤
右踝关节骨裂	踝关节骨折
子宫内膜癌 慢支 化疗中	子宫内膜恶性肿瘤##慢性支气管炎##化学治疗##癌
"肺癌抗过敏,肝转移？"	肺恶性肿瘤##癌##肝继发恶性肿瘤##转移性癌
冠状动脉粥样症前降支心肌桥	冠状动脉粥样硬化##冠状动脉肌桥
发疹性皮肤病	皮疹
糖尿病高血压高血脂症	糖尿病##高血压##高脂血症
卵巢癌化疗后	卵巢恶性肿瘤##癌##化学治疗
6化疗后肝功能轻度异常	化学治疗##肝功能异常
肛周尖锐湿疣	肛门周围尖锐湿疣
肺功能减退声门裂狭窄	声门狭窄##肺功能异常
"非霍奇金淋巴瘤,上腔静脉压迫综合征,化疗期间,肝功能损害,白细胞减少,静脉血栓形成,上呼吸道感染，咳嗽"	非霍奇金淋巴瘤##O##化学治疗##肝功能不全##白细胞减少##静脉血栓形成##上呼吸道感染##咳嗽
G2P0孕34+5周宫内妊娠L	孕34周
胼胝体膝部发育不良	胼胝体发育不全
躯体神经官能症	其他特指的神经症性障碍
1.主动脉夹层.2.哮喘	主动脉夹层形成##支气管哮喘
甲状腺滤泡性癌	甲状腺恶性肿瘤##滤泡性癌
肝外胆管扩张	胆管扩张
泌尿系统疾病高PSA血症	PSA升高##泌尿系统未特指的疾患
肝癌伴肝内转移	肝恶性肿瘤##癌##肝继发恶性肿瘤##转移性癌
盆腔多发转移	盆腔继发恶性肿瘤##转移性肿瘤
左内踝玻璃割伤	踝部开放性损伤##玻璃割伤
急性移植物抗宿主反应肝脏I度	急性移植物抗宿主病
阑尾扩张肠管退变坏死	阑尾未特指的疾病##肠坏死
皮肤鳞状细胞癌术后	皮肤恶性肿瘤##鳞状细胞癌
"上呼吸道感染、发热、咳嗽咳痰,咽痛、牙痛,行动不便,过敏性鼻炎"	上呼吸道感染##发热##咳嗽##咽痛##牙痛##过敏性鼻炎[变应性鼻炎]
移位甲状腺	甲状腺异位
创伤性硬膜下积液	硬膜下积液
左小腿截肢残端肌肉及皮肤软组织坏死	截肢
缺锌重轻度缺铁胃口睡眠差	食欲不振##铁缺乏##锌缺乏##睡眠障碍
骶骨神经纤维瘤	神经纤维瘤病[VonRecklinghausen病]
双侧股骨头置换术后	人工关节术后
右膝关节外侧不完全盘状半月板撕裂	先天性盘状半月板##膝外侧半月板撕裂
子宫增大见节育器影	具有子宫内避孕装置
右顶部良性脑膜瘤	脑膜瘤
重度疼痛胰腺癌	前列腺恶性肿瘤##癌##癌性疼痛
右甲良性病变术后	未特指的甲状腺疾患##甲状腺术后
循环系统操作后疾患房缺修补冠脉搭桥	房间隔缺损修补术后##冠状动脉搭桥术后
炎症后色素减退.足癣	足癣
舌腹血管畸形	舌血管畸形
腹痛待查、原发性高血压2级高危	腹痛##原发性高血压##O
"直肠癌术后ypT2N0M0,高血压,冠心病,双肾囊肿"	直肠术后##直肠恶性肿瘤##高血压##冠状动脉粥样硬化性心脏病##癌##肾囊肿
双侧听力重度损害	听功能障碍
右足及小腿缺血性坏死有腘窝皮坏死	下肢皮肤坏死##足坏死
膀胱肿瘤低度恶性潜能	膀胱恶性肿瘤
颅底凹陷症伴不全瘫	先天性颅底凹陷症##不完全性瘫痪
精神运动发育迟缓遗传代谢性病	未特指的精神发育迟缓
皮肤病其他	皮肤和皮下组织其他特指的疾患
CAD，肾衰	冠状动脉粥样硬化性心脏病##肾衰竭
右顶枕动静脉畸形	脑动静脉畸形
双眼外隐斜	外隐斜
胸5-6脂肪瘤	脂肪瘤##脂肪瘤
1.子宫腺肌病。增生期子宫内膜。子宫内膜息肉	子宫肌腺症##子宫内膜息肉
退行性瓣膜病二尖瓣三尖瓣主动脉瓣?	二尖瓣退行性变##三尖瓣病##退行性主动脉瓣疾患
双膝外侧盘状半月板	先天性盘状半月板
反复发作低血糖	低血糖症
左输卵管异位妊娠	输卵管妊娠
腰椎间盘突出(腿麻)	腰椎间盘突出
宫颈乳头状鳞形细胞癌放疗后	子宫颈恶性肿瘤##乳头状鳞状细胞癌##恶性肿瘤放疗
功血子宫肌瘤	子宫不规则出血##子宫平滑肌瘤
左膝关节软组织挫伤	膝部挫伤
心律失常窦性心动过速	窦性心动过速
脾肉芽肿性炎	肉芽肿
急性心梗继发心衰	急性心肌梗死##急性心力衰竭
左下肺CA	左肺下叶恶性肿瘤##癌
腰椎双膝骨关节病行动不便肌肉关节痛颈椎病	膝骨关节病##肌痛##关节痛##颈椎病##腰椎病
长期胃口差间歇性清晨眼睑浮肿	眼睑水肿##食欲不振
颈椎骨折伴截瘫	颈椎骨折##高位截瘫
高总胆固醇血症高低密度脂蛋白胆固醇血症	高脂血症##血脂异常
宫内环下移	避孕环移位
左股骨慢性骨髓炎	股骨骨髓炎##慢性骨髓炎
胸部枪击伤	胸部开放性损伤##枪击伤
升结肠中分化腺癌，部分为粘液腺癌（pT4aN1M0，3B期，高危）术后第一次化疗	升结肠恶性肿瘤##腺癌##粘液腺癌##恶性肿瘤术后化疗
表皮肥厚伴灶性棘层肥厚	其他表皮肥厚
胸骨后不适待查，NERD待排	胃食管反流
缺铁;卵圆孔未闭	铁缺乏##卵圆孔未闭
全身多处骨发育不良	未特指的骨软骨发育不良
全身多发神经纤维瘤病	神经纤维瘤病[VonRecklinghausen病]
直肠乙状结肠交界腺癌	直肠乙状结肠连接部恶性肿瘤##腺癌
1颏下疤痕伴色素沉着	色素沉着未特指的疾患##面部瘢痕
左踝关节损伤	踝关节扭伤
右肺小细胞癌ED期	右肺恶性肿瘤##小细胞癌
子宫颈中分化鳞癌IIb期放射治疗	子宫颈恶性肿瘤##鳞状细胞癌
双肘腕软组织劳损	腕部劳损##肘部劳损
肝脏粘液性囊性肿瘤	肝良性肿瘤##粘液性囊瘤
回盲部肠管坏死并破裂	肠坏死##肠破裂
宫颈原位鳞状细胞癌	子宫颈原位癌##鳞状细胞癌
腹腔非霍奇金淋巴瘤	腹部恶性肿瘤##非霍奇金淋巴瘤
烧伤后全身瘢痕增生	多处烧伤##全身多处瘢痕
L1L2椎体骨质破坏伴L1椎体压缩性改变	骨质破坏##腰椎压缩性骨折##腰椎骨折L1
低锌低铁地贫	铁缺乏##锌缺乏##地中海贫血
左手左足机器割伤	手部开放性损伤##足部开放性损伤
右手指麻木待查高血脂	高脂血症
胆管囊肿切除术后	胆管囊肿##胆道术后
右股骨内髁SONK右膝中度OA	骨坏死##单侧膝关节骨性关节病
脑多发缺血梗塞灶双侧脑室旁半卵圆中心?	多发性脑梗死
恶性肿瘤静脉输注化疗药物	化学治疗
脑室少许缺血脱髓鞘改变	脱髓鞘性脑病##脑血管供血不足
走路差待查小脑发育欠佳	先天性脑发育不全
外阴交搭跨越恶性肿瘤	外阴交搭跨越恶性肿瘤的损害
西医1后循环缺血2左侧椎动脉发育变异	后循环缺血
卵巢恶性肿瘤伴腹水	卵巢恶性肿瘤##腹水
CABG术后胸腔积水	冠状动脉搭桥术后##胸腔积液
原发性高血压Ⅱ级	原发性高血压##高血压2级
颈部劳损	颈部其他和未特指部位关节和韧带扭伤和劳损
乳腺分叶状肿瘤	叶状瘤
"胃印戒细胞癌 局部进展期,肺癌术后 免疫力低 过敏性皮炎,上呼吸道感染 发热 咳嗽"	胃恶性肿瘤##印戒细胞癌##肺术后##肺恶性肿瘤##癌##过敏性皮炎##上呼吸道感染##发热##咳嗽
高血压慢性肾病	高血压性肾病
颊粘膜裂伤	口腔粘膜开放性损伤
1型糖尿病性胃肠神经病变胃轻瘫	1型糖尿病##糖尿病性胃轻瘫
神经型布氏杆菌病吉兰巴雷综合征可能性大	吉兰-巴雷综合征
脊膜脊髓膨出	脊髓脊膜膨出
腰椎骨折伴截瘫	腰椎骨折##截瘫[双下肢瘫痪]
右肾结石伴肾积水	肾积水伴肾结石
右小腿及踝部软组织伤	"下肢未特指的损伤,水平未特指"
角膜cashang	角膜擦伤
支气管扩张，胃肠炎	支气管扩张症##胃肠炎
横结肠结肠粘膜低级别管状腺瘤粟粒大1块	横结肠良性肿瘤##管状腺瘤
右肺癌伴肺内转移 肝内转移 骨转移	右肺恶性肿瘤##癌##肺继发恶性肿瘤##肝继发恶性肿瘤##骨继发恶性肿瘤##转移性癌
胸椎陈旧性压缩性骨折	胸椎压缩性骨折##陈旧性胸椎骨折
急性T淋巴细胞白血病L3型（中危，完全缓解期）	急性淋巴细胞白血病L3
卵巢囊肿术后	卵巢囊肿##卵巢术后
双眼白内障术后	白内障##眼术后
回肠系膜高侵袭性B细胞源性非霍奇金淋巴瘤II期（Burrkitt淋巴瘤）化疗后	非霍奇金淋巴瘤(B细胞型)
远近端造瘘口肠管可见神经节细胞	未特指的人工造口状态
右下腹肌肉慢性炎	肌炎
冠心病-心功能IV级	冠状动脉粥样硬化性心脏病##心功能IV级(NYHA分级)
右足背玻璃割伤	足部开放性损伤##玻璃割伤
胎儿死亡	胎死宫内
子宫癌肉瘤II期	子宫恶性肿瘤##癌肉瘤
右肺下叶中分化鳞状细胞癌	右肺下叶恶性肿瘤##鳞状细胞癌
肾积水伴肾和输尿管结石(术后)	肾积水##肾输尿管结石##肾术后##输尿管术后
巨大胎儿	巨大儿
胆囊绒毛管状腺瘤伴灶性重度异型增生?	管状绒毛状腺瘤##胆囊良性肿瘤##胆囊不典型增生
上下前牙唇倾牙列拥挤正畸牙拔除术	牙齿拥挤##牙外科正畸术后
乙状结肠管状腺瘤Ⅰ级切缘为查见病变	管状腺瘤##乙状结肠良性肿瘤
原发中枢神经系统淋巴瘤放化疗后	淋巴瘤##恶性肿瘤放疗##化学治疗
双下肺炎并右侧胸腔积液	胸腔积液
右上肺小细胞癌	右肺上叶恶性肿瘤##小细胞癌
双下肢右足拇指电灼伤	"电流引起烧伤##足趾损伤##下肢未特指的损伤,水平未特指"
左侧肾上腺占位伴高血压	高血压##肾上腺占位
双卵巢中低分化子宫内膜样腺癌	卵巢恶性肿瘤##子宫内膜样腺癌
双侧输卵管高级别浆液性癌IIIC期	浆液性癌##输卵管恶性肿瘤
原发性支气管肺癌(左肺小细胞肺癌cT2bN2M0　局限期　PS0分)	左肺恶性肿瘤##小细胞癌
肝胆管粘液腺癌	肝胆管恶性肿瘤##粘液腺癌
粘膜下平滑肌瘤	平滑肌瘤
右耳蜂蜇伤	蜂螫伤##耳部损伤
新生儿面部挤压综合征	新生儿挤压综合征
脑缺血改变老年性脑改变	脑血管供血不足
5.头部外伤：1）轻型颅脑损伤	创伤性脑损伤##头部损伤
鼻咽横纹肌肉瘤	鼻咽恶性肿瘤##横纹肌肉瘤
多发性脑缺血脑髓鞘病	脱髓鞘性脑病##脑血管供血不足
右手中指远节完全离断	单指完全离断
左前臂骨筋膜综合症	上肢骨筋膜室综合征
支气管哮喘并肺部感染	支气管哮喘##肺部感染
停经292周B超提示胎儿左侧颈部无回声区	妊娠状态
左拇指指腹皮肤缺失	皮肤缺损
右小腿软组织撕脱并缺损	小腿撕脱伤
升结肠癌，pT2N0；	升结肠恶性肿瘤##癌
阴道和外阴特指炎症	外阴炎##阴道炎
外源性色素色汗症	色汗症
左膝关节滑膜炎	膝关节滑膜炎
1型糖尿病伴有多个并发症	1型糖尿病伴多个并发症
缺铁缺锌铅较高腹部淋巴肿大	铁缺乏##锌缺乏##铅中毒##淋巴结肿大
急性肺梗塞	肺梗死
慢性肺曲霉病急性发作	肺曲霉菌病
停经待查早孕宫外孕右侧卵巢旁囊性回声	妊娠状态##异位妊娠##停经
胰后脾静脉海绵样变	海绵状血管瘤
慢性鼻窦炎伴息肉	慢性鼻窦炎##鼻息肉
绝经后双乳增生	绝经期##乳腺增生
右肾结节查因:错构瘤	肾错构瘤##肾占位性病变
骶尾骨痛	尾骨痛
右膝外侧半月板体部Ⅲ°放射裂后角Ⅲ°水	膝外侧半月板撕裂
肝癌射频消融治疗后	肝恶性肿瘤##癌##射频消融术后
急性化脓性胆管炎伴胆总管结石	胆总管结石伴急性化脓性胆管炎
糖尿病性神经病变(待查)	糖尿病伴神经系统并发症
多发性脑梗死灶后遗症期	多发性脑梗死##脑梗死后遗症
（鼻咽）低分化鳞状细胞癌	鼻咽恶性肿瘤##鳞状细胞癌
皮炎(面部皮炎伴感染)	皮炎##感染
贲门胃体管状腺瘤	管状腺瘤##贲门良性肿瘤##胃良性肿瘤
41楔状缺损3646磨损	牙齿楔状缺损##牙齿磨损
右手小指外伤清创术后	手指开放性损伤##清创术后
胃窦异位胰腺	胃内异位胰腺
右肾积水伴右输尿管扩张	肾积水##输尿管扩张
"右上肺中央型腺鳞癌（pT2N2M0, IIIa期）术后伴右肺、右胸壁、肋骨多发转"	肺术后##右肺上叶恶性肿瘤##鳞状细胞癌##肺继发恶性肿瘤##胸壁继发恶性肿瘤##肋骨继发恶性肿瘤##转移性癌
肢体擦伤伴异物	开放性损伤伴异物
侵入性肺曲霉病治疗后	肺曲霉菌病
从2米高房屋上摔下致伤	自高处坠落
重症多型红斑	重症型多形红斑
颈椎骨质破坏原因待查	骨质破坏
右下肺腺癌多发脑转移 EGFR19号外显子缺失	右肺下叶恶性肿瘤##脑继发恶性肿瘤##腺癌##转移性腺癌
抗病毒治疗高指血症	高脂血症
2型糖尿病合并2型糖尿病性周围神经病变	2型糖尿病##2型糖尿病性周围神经病
静脉发育不良下肢	周围动静脉畸形
特指手术后状态(左下肢浅静脉术后)	其他特指的手术后状态
右乳中分化浸润性导管癌	乳腺恶性肿瘤##浸润性导管癌
双眼上睑睑缘炎	睑缘炎
CAA肺部感染	淀粉样脑血管病##肺部感染
CHDHF	冠状动脉粥样硬化性心脏病##心力衰竭
言语错乱	言语障碍
先天性双侧髋关节错位	先天性髋关节脱位
左腰部纤维脂肪瘤术后复发	腰部良性肿瘤##纤维脂肪瘤
周围动脉粥样硬化症(颈动脉)	颈动脉硬化##外周动脉粥样硬化
"行动不便,SLE，,上呼吸道感染、发热、咳嗽咳痰,咽痛,慢性便秘,高脂血症,高血压,预防血栓,肝肾阴虚、腰膝酸软"	系统性红斑狼疮##上呼吸道感染##发热##咳嗽##咽痛##便秘##高脂血症##高血压
鞍区占位伽马刀治疗后	颅内占位性病变##放射治疗
脂肪脊髓脊膜膨出	脊髓脊膜膨出
左眼视网膜毛细血管前小动脉阻塞	其他视网膜动脉阻塞
颈部粥样斑块硬化症	颈动脉粥样硬化
心肌桥左室舒张功能减低	冠状动脉肌桥
童年孤独症	儿童孤独症
特指手术后状态(乳腺)	乳腺术后##其他特指的手术后状态
右上肢躯干开水烫伤	沸水烫伤##躯干部烫伤##上肢烫伤
G周妊娠分娩LOA	正常分娩
可疑恶性肿瘤观察高CEACa19-9血症	可疑恶性肿瘤的观察##CA199升高
右肾透明细胞癌右肾肿瘤	肾恶性肿瘤##透明细胞癌
组织细胞郎罕细胞增多症	朗格汉斯细胞组织细胞增生症
电解质紊乱-低钠钾氯血症	电解质紊乱##低钠血症##低钾血症##低氯血症
乙状结肠造口状态	结肠造口状态
右膝部软组织损伤	"下肢未特指的损伤,水平未特指"
左锁骨下动脉及左椎动脉支架置入术	血管支架植入术后状态
耳廓纤维溜病	纤维瘤病
双肺多发网格影考虑间质改变可能性大	肺部阴影
左手掌皮肤软组织压轧伤	手部挤压伤
烧伤后颈部瘢痕挛缩畸形	颈部烧伤##颈部瘢痕##瘢痕挛缩
左室向心性肥厚左室舒张功能减低	心室肥厚
神志模糊右肢无力待查	肢体无力##意识障碍
右腕背玻璃割伤	腕部开放性损伤##玻璃割伤
骶管小囊肿	椎管内囊肿
双下肢肢端肥大	肢端肥大症
不育待查严重弱精子症	男性不育症##男方弱精症
右侧乳房肿块分叶状肿瘤	叶状瘤
"阴道炎,要求取环,月经不调,痛经,子宫腺肌症,盆腔炎"	阴道炎##月经紊乱##痛经##子宫肌腺症##女性盆腔炎
风湿性疾病伴肺部侵犯	风湿病
左肘疤痕挛缩伴功能受限	瘢痕挛缩##肘部瘢痕
玻粒体混浊眼底血管阻塞	玻璃体混浊
左下肢周围神经病变	多发性神经病[多发性神经炎/周围神经炎]
"左肾盂癌根治术后 IV期,膀胱转移根治术后,右输尿管皮肤造口术,盆腔局部复发,左侧髂外血管旁、左侧腹股沟区淋巴结转移,放疗,疼痛"	肾盂恶性肿瘤##膀胱继发恶性肿瘤##膀胱术后##输尿管造口状态##盆腔恶性肿瘤##腹股沟淋巴结继发恶性肿瘤##恶性肿瘤放疗##疼痛##髂淋巴结继发恶性肿瘤##癌##转移性癌
右颊粘膜舌覆扁平苔藓免疫异常	口腔扁平苔癣##舌扁平苔癣
上呼吸道感染mp感染	上呼吸道感染##支原体感染
右额颞创伤性硬膜下血肿	创伤性硬脑膜下血肿
术后伴胸壁、纵隔、腹膜后等多发淋巴结转移（T1bN3M1a IV期）	胸壁淋巴结继发恶性肿瘤##纵隔淋巴结继发恶性肿瘤##腹膜后淋巴结继发恶性肿瘤
下肢浅静脉曲张术后	下肢静脉曲张##静脉曲张术后
尿频伴肉眼血尿半天	尿频##血尿
颅内多发囊虫1纵裂池囊虫	未特指的囊虫病
"原发性高血压病(药物控制后,极高危)"	原发性高血压
闭塞性动脉粥样硬化症	闭塞性动脉硬化
肉芽肿性血管炎	韦格纳肉芽肿病[WegenersGranulomatosis病]
慢性移植物抗宿主反应病口腔皮肤眼	慢性移植物抗宿主病
右肾透明细胞癌T1N0M0	肾恶性肿瘤##透明细胞癌
中耳炎(伴急性结膜炎)	中耳炎##急性结膜炎
一侧肾萎缩	肾萎缩
脊髓灰质炎<脊髓型>	急性脊髓灰质炎
宫内妊娠	妊娠状态
L4-5腰椎间盘突出症、双膝骨关节炎	腰椎间盘突出##膝骨关节病
子宫颈上皮内病变III级	子宫颈上皮内瘤变III级[CINIII级]
左腘窝肌腱劳损	身体未特指部位的脱位、扭伤和劳损
纵隔肿瘤放疗	纵隔恶性肿瘤##恶性肿瘤放疗
L2腰椎陈旧性骨折	陈旧性腰椎骨折##腰椎骨折L2
小脑脑出血	小脑出血
甲状腺右叶乳头状微癌	甲状腺恶性肿瘤##乳头状微小癌
结肠绒毛状管状腺瘤低级别直径15cm	结肠良性肿瘤##管状绒毛状腺瘤
右眼虹膜缺如	先天性无虹膜
1.冠心病缺血性心肌病型心功Ⅲ-Ⅳ级	冠状动脉粥样硬化性心脏病##缺血性心肌病##心功能III级(NYHA分级)##心功能IV级(NYHA分级)
腰背劳损	腰部劳损##背部劳损
右肺继发恶性肿瘤	肺继发恶性肿瘤
盆腔包块待查：1）卵巢囊肿？2）卵巢肿瘤？3)炎性包块？	盆腔肿物##卵巢囊肿
颈动脉粥样硬化症	颈动脉粥样硬化
下颌骨发育不全	先天下颌骨颜面发育不全
癫痫或癫痫综合征	癫痫
糖尿病冠心病咽喉痛	糖尿病##冠状动脉粥样硬化性心脏病
截瘫康复期外伤后	未特指的截瘫##治疗后恢复期
前列腺癌？骨转移？	前列腺恶性肿瘤##癌##骨继发恶性肿瘤##转移性癌
滤泡癌	滤泡性癌
脑A硬化消化障碍	动脉硬化
急性移植物抗宿主反应病II度肠道	急性移植物抗宿主病
双侧腹股沟斜疝并隐睾	双侧腹股沟斜疝##隐睾
食管下段小细胞癌维持性化学治疗	食管下三分之一的恶性肿瘤##恶性肿瘤维持性化学治疗##癌
右肺下叶腺癌IVA期	右肺下叶恶性肿瘤##腺癌
眼周外伤	眼和眶未特指的损伤
右臀部皮脂腺囊肿感染	皮脂腺囊肿##感染
局限性皮肤萎缩	皮肤未特指的萎缩性疾患
胃食管结合部癌综合治疗后吻合口复发	食管胃连接部恶性肿瘤##癌##恶性肿瘤复发
送检右侧髋臼为死骨纤维组织伴坏死渗	骨坏死
"结肠癌,右肺上叶小结节"	结肠恶性肿瘤##肺占位性病变##癌
下咽占位	口腔和咽喉部占位
双侧视神经发育不全	视神经发育不良
卵巢Ca	卵巢恶性肿瘤##癌
慢性结石性胆囊炎急性发作	慢性胆囊炎急性发作
血吸虫性肝硬变	血吸虫性肝硬化
低锌肛周裂口	锌缺乏##肛裂
新生儿狼疮综合症	新生儿狼疮综合征
抽动－多动综合征	抽动秽语综合征
左足撕裂伤，左大腿挫裂伤	足部损伤##下肢撕裂伤##大腿损伤
急性脑梗塞左侧颞叶梗塞可能性大	脑梗死
中耳胆脂瘤(术后)	耳术后##中耳胆脂瘤
颅内多发缺血性脱髓鞘病变	脱髓鞘病
消化道其他部分后天性缺失	后天性消化道部分缺失
"宫颈癌 肠镜检查 肠道准备 肠镜麻醉,焦虑抑郁状态伴失眠，神经痛"	子宫颈恶性肿瘤##焦虑状态##抑郁状态##失眠##神经痛##癌
妊娠合并内科疾病	妊娠状态
面部发育畸形	先天性颅面发育不全
右耳中重度听力损失左耳极重度听力损失	未特指的听觉丧失
躯体化障碍外伤后神经症反应	躯体化障碍
开放性颅颌面内异物	面部异物
卵巢交界瘤(术后复查)	卵巢交界性肿瘤##卵巢术后
双胎之一左心室强光点	双胎妊娠
脐尿管瘘并感染	先天性脐尿管瘘##感染
肝癌术后; 低蛋白血症; 肝硬化	肝术后##肝恶性肿瘤##低蛋白血症##肝硬化##癌
左上肢背部玻璃割伤	上肢开放性损伤##背部开放性损伤##玻璃割伤
椎动脉供血不足	椎-基底动脉供血不全
左颌下淋巴结炎；咽扁炎；	颌下淋巴结炎
子宫颈低分化腺癌	子宫颈恶性肿瘤##腺癌
右手腕针刺伤	腕和手未特指的损伤
低色素小细胞性贫血重度	低色素性小细胞性贫血##重度贫血
下腹瘢痕痛	腹部瘢痕##疼痛
全身强直型发作	癫痫大发作[全身强直-阵挛性发作]
右手无力待查	肌无力
结膜炎，准分子术后ou	结膜炎
慢性阻塞性心脏病失代偿期	未特指的心脏病
